id,domain_hint,label,verifier_score,nadir_decision
672843e4-8ebe-4b6f-b8cc-6144ea28f2bb,Chinese_character_riddles,0,0.39891770482063293,expensive
f15791c3-1c1e-4d2c-a34c-fb9c9aa4dfb4,Chinese_character_riddles,0,0.7880330681800842,expensive
b3a63a1b-038c-45a5-819c-3c7db0abbd5f,abstract2title,1,0.9998997449874878,cheap
e13088d0-4b8f-424a-b605-4f0cc9c2d77d,abstract2title,1,0.9999179840087891,cheap
bc063aed-3daa-4a22-ac29-99e2b9ef2833,abstract2title,1,0.999880313873291,cheap
d21983ac-e1c8-4e31-a685-d3712221b0b2,abstract2title,1,0.9998786449432373,cheap
be604608-bb5d-48c5-b6d9-79e90737976f,abstract2title,1,0.9998922348022461,cheap
797ced90-ec15-4e42-b9a1-4d44374b7e6b,abstract2title,1,0.9999065399169922,cheap
45364ad0-7099-4f76-8a9e-cb26e91864b6,abstract2title,1,0.9998971223831177,cheap
a4340cfc-e344-4ade-ad08-a275b23b7e96,abstract2title,1,0.9996739625930786,cheap
1a6f54c3-86c2-436b-be66-bf9bce3134a1,abstract2title,1,0.9999213218688965,cheap
edd2c5b5-e79a-42a1-ab22-304388c7169b,abstract2title,1,0.9998288154602051,cheap
1edd6c2c-bfcd-4ba0-a48e-a687c52a78e6,abstract2title,1,0.9998606443405151,cheap
b77fa638-4065-497f-b35f-1ea5c6e9a7d3,abstract2title,1,0.9998717308044434,cheap
cdfa059d-74fa-42c6-9d4d-a2096c6daf3f,abstract2title,1,0.9997627139091492,cheap
c386d3a7-08b2-4b26-90ca-17436ac01c37,abstract2title,1,0.9999046325683594,cheap
14e07e01-dde3-4cee-9a72-2ee3c0866a7a,abstract2title,1,0.9998962879180908,cheap
3eea2504-6b3f-42b8-8b7a-570a3e2bceaa,abstract2title,1,0.9998956918716431,cheap
a01bdc9e-3391-4a18-9c74-6e6a0f239f5b,abstract2title,1,0.9999150037765503,cheap
cf0ff0c8-ade3-4109-bd37-d5eb043a5809,abstract2title,1,0.9997995495796204,cheap
a2bda7af-ed8d-4ff2-9b31-3aa6e9ad1103,abstract2title,1,0.9994869232177734,cheap
cb3df240-cece-4558-9cea-09f06e9d5eca,abstract2title,1,0.9998947381973267,cheap
e5f24688-68d5-4ac2-86d6-8dfb7efd2be3,abstract2title,1,0.9998689889907837,cheap
53355a77-37e6-44d5-917d-5f18268d4521,abstract2title,1,0.9998655319213867,cheap
6ff8a293-57e1-4022-823b-2d2f39d3743a,abstract2title,1,0.9999017715454102,cheap
7628b2b5-4fc5-4337-91e8-c4cedb091d1a,abstract2title,1,0.9999115467071533,cheap
a4b4da3c-0449-425f-b3d3-ee0161bb3140,abstract2title,1,0.9999009370803833,cheap
e471ef93-fd72-419a-945e-561e144539f2,abstract2title,1,0.9997641444206238,cheap
