id,domain_hint,label,nd_logit_gpt35,nd_logit_gpt4,nd_prob_gpt35,nd_prob_gpt4,nd_argmax,nd_decision
672843e4-8ebe-4b6f-b8cc-6144ea28f2bb,Chinese_character_riddles,0,-0.5993027687072754,0.5859173536300659,0.2341149002313614,0.7658851146697998,1,expensive
f15791c3-1c1e-4d2c-a34c-fb9c9aa4dfb4,Chinese_character_riddles,0,-0.6536736488342285,0.6201031804084778,0.21861141920089722,0.7813885807991028,1,expensive
b3a63a1b-038c-45a5-819c-3c7db0abbd5f,abstract2title,1,-0.5896693468093872,0.6589382886886597,0.22294127941131592,0.7770587801933289,1,expensive
e13088d0-4b8f-424a-b605-4f0cc9c2d77d,abstract2title,1,-0.6814812421798706,0.698104739189148,0.2010754942893982,0.7989245057106018,1,expensive
bc063aed-3daa-4a22-ac29-99e2b9ef2833,abstract2title,1,-0.1897367686033249,0.3014217019081116,0.3796207010746002,0.6203793287277222,1,expensive
d21983ac-e1c8-4e31-a685-d3712221b0b2,abstract2title,1,-1.0159311294555664,0.9090016484260559,0.12731251120567322,0.8726874589920044,1,expensive
be604608-bb5d-48c5-b6d9-79e90737976f,abstract2title,1,-1.1264904737472534,0.9631603956222534,0.11010678112506866,0.8898932337760925,1,expensive
797ced90-ec15-4e42-b9a1-4d44374b7e6b,abstract2title,1,0.6214996576309204,-0.3898622393608093,0.7332866191864014,0.2667134404182434,0,cheap
45364ad0-7099-4f76-8a9e-cb26e91864b6,abstract2title,1,-0.9628812074661255,0.8881469964981079,0.13575221598148346,0.864247739315033,1,expensive
a4340cfc-e344-4ade-ad08-a275b23b7e96,abstract2title,1,-1.1521449089050293,0.9734519720077515,0.10663371533155441,0.8933663368225098,1,expensive
1a6f54c3-86c2-436b-be66-bf9bce3134a1,abstract2title,1,0.5118648409843445,-0.2828303873538971,0.6888386607170105,0.31116142868995667,0,cheap
edd2c5b5-e79a-42a1-ab22-304388c7169b,abstract2title,1,-1.3975257873535156,1.194173812866211,0.0696745291352272,0.930325448513031,1,expensive
1edd6c2c-bfcd-4ba0-a48e-a687c52a78e6,abstract2title,1,0.2308230847120285,-0.024430327117443085,0.5634691119194031,0.43653085827827454,0,cheap
b77fa638-4065-497f-b35f-1ea5c6e9a7d3,abstract2title,1,-1.077829122543335,0.9444943070411682,0.11687896400690079,0.8831210732460022,1,expensive
cdfa059d-74fa-42c6-9d4d-a2096c6daf3f,abstract2title,1,-1.3325369358062744,1.128941535949707,0.07860318571329117,0.9213967323303223,1,expensive
c386d3a7-08b2-4b26-90ca-17436ac01c37,abstract2title,1,-1.5830177068710327,1.3375507593154907,0.05114610865712166,0.9488539695739746,1,expensive
14e07e01-dde3-4cee-9a72-2ee3c0866a7a,abstract2title,1,-0.5458924770355225,0.628542423248291,0.23605428636074066,0.7639456987380981,1,expensive
3eea2504-6b3f-42b8-8b7a-570a3e2bceaa,abstract2title,1,-0.6357958316802979,0.6106299757957458,0.22331944108009338,0.7766805291175842,1,expensive
a01bdc9e-3391-4a18-9c74-6e6a0f239f5b,abstract2title,1,0.14656856656074524,-0.1333659589290619,0.569530189037323,0.4304698407649994,0,cheap
cf0ff0c8-ade3-4109-bd37-d5eb043a5809,abstract2title,1,0.5732183456420898,-0.3522377610206604,0.7161524891853333,0.283847451210022,0,cheap
a2bda7af-ed8d-4ff2-9b31-3aa6e9ad1103,abstract2title,1,-0.6052475571632385,0.5985028743743896,0.23080873489379883,0.769191324710846,1,expensive
cb3df240-cece-4558-9cea-09f06e9d5eca,abstract2title,1,-1.2192206382751465,1.0027740001678467,0.09779267758131027,0.9022073149681091,1,expensive
e5f24688-68d5-4ac2-86d6-8dfb7efd2be3,abstract2title,1,-0.9496191740036011,0.8913944363594055,0.13693146407604218,0.8630685806274414,1,expensive
53355a77-37e6-44d5-917d-5f18268d4521,abstract2title,1,-0.8002759218215942,0.7361092567443848,0.17706136405467987,0.8229385614395142,1,expensive
6ff8a293-57e1-4022-823b-2d2f39d3743a,abstract2title,1,-0.006964944303035736,0.1359855979681015,0.46432310342788696,0.535676896572113,1,expensive
7628b2b5-4fc5-4337-91e8-c4cedb091d1a,abstract2title,1,-1.2352073192596436,1.1116585731506348,0.08731520175933838,0.9126847386360168,1,expensive
a4b4da3c-0449-425f-b3d3-ee0161bb3140,abstract2title,1,-0.948158860206604,0.7974954843521118,0.1485961377620697,0.8514038324356079,1,expensive
